epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.903,1.46387,2.82645,1.27309,0.00634,0.64331,0.42716,0.2358,1.35125,3.56365,1.16073,0.00054,0.00054,0.00054
2,389.037,1.51028,1.98079,1.23115,0.06848,0.05945,0.02365,0.00875,1.52051,3.66777,1.45413,0.00107822,0.00107822,0.00107822
3,583.846,1.53195,1.81016,1.24259,0.02198,0.03822,0.01193,0.00463,1.87935,12.6779,2.08647,0.00159426,0.00159426,0.00159426
4,747.552,1.56777,1.7493,1.32083,0.67773,0.61169,0.64795,0.33108,1.64202,2.43266,1.50531,0.0018812,0.0018812,0.0018812
5,908.853,1.53283,1.54017,1.29141,0.77481,0.6242,0.71797,0.38703,1.56863,2.5374,1.42914,0.0018416,0.0018416,0.0018416
6,1075.26,1.51174,1.36498,1.24258,0.86456,0.77254,0.84586,0.47366,1.44941,1.60954,1.27622,0.001802,0.001802,0.001802
7,1240.18,1.41481,1.3589,1.21361,0.84422,0.72399,0.8232,0.44136,1.52711,1.48771,1.31388,0.0017624,0.0017624,0.0017624
8,1404.44,1.43966,1.20675,1.22124,0.85403,0.80679,0.88514,0.48954,1.49724,1.28894,1.31174,0.0017228,0.0017228,0.0017228
9,1564.34,1.47975,1.19568,1.24488,0.79431,0.78132,0.82065,0.41374,1.67471,1.29429,1.36222,0.0016832,0.0016832,0.0016832
10,1722.03,1.46121,1.10527,1.2343,0.90229,0.80383,0.90162,0.52321,1.4365,1.10972,1.25692,0.0016436,0.0016436,0.0016436
11,1882.62,1.3861,1.07052,1.20086,0.81956,0.78556,0.85467,0.49227,1.39546,1.15376,1.24409,0.001604,0.001604,0.001604
12,2052.49,1.39888,1.01486,1.22554,0.8533,0.85209,0.90068,0.51393,1.3687,1.03862,1.22368,0.0015644,0.0015644,0.0015644
13,2212.34,1.41964,1.02078,1.25915,0.90977,0.81349,0.90414,0.5447,1.31034,1.07576,1.20752,0.0015248,0.0015248,0.0015248
14,2513.4,1.40977,0.97741,1.20678,0.86075,0.84289,0.92191,0.54168,1.34307,0.93351,1.20702,0.0014852,0.0014852,0.0014852
15,2673.08,1.46151,1.02279,1.23864,0.9152,0.85987,0.93151,0.55429,1.30647,0.87951,1.20679,0.0014456,0.0014456,0.0014456
16,2837.5,1.37174,1.00236,1.21267,0.84639,0.8891,0.92874,0.573,1.26229,0.9645,1.19666,0.001406,0.001406,0.001406
17,3008.87,1.31678,0.89388,1.18735,0.86631,0.89426,0.91826,0.57285,1.25914,0.90769,1.16066,0.0013664,0.0013664,0.0013664
18,3174.15,1.34202,0.86133,1.18606,0.8707,0.90234,0.93669,0.59651,1.22036,0.90184,1.16383,0.0013268,0.0013268,0.0013268
19,3414.88,1.32036,0.84816,1.16772,0.89752,0.89254,0.94756,0.58311,1.26921,0.80547,1.17358,0.0012872,0.0012872,0.0012872
20,3575.98,1.29914,0.86457,1.1829,0.91429,0.90234,0.95258,0.60868,1.19854,0.76574,1.15418,0.0012476,0.0012476,0.0012476
21,3735.98,1.27917,0.80991,1.15161,0.92518,0.91083,0.95033,0.59721,1.21293,0.77089,1.15604,0.001208,0.001208,0.001208
22,3900.05,1.20087,0.98774,1.09156,0.93204,0.90021,0.95407,0.60149,1.2191,0.75141,1.13932,0.0011684,0.0011684,0.0011684
23,4067.27,1.28923,0.84896,1.17206,0.91114,0.93605,0.9568,0.627,1.20044,0.72697,1.13539,0.0011288,0.0011288,0.0011288
24,4440.9,1.25135,0.86582,1.14241,0.94343,0.88512,0.95184,0.61184,1.20793,0.73198,1.13901,0.0010892,0.0010892,0.0010892
25,4605.09,1.25459,0.77621,1.15636,0.94454,0.92781,0.97006,0.61197,1.21795,0.73118,1.14022,0.0010496,0.0010496,0.0010496
26,6640.99,1.25725,0.7647,1.1427,0.93494,0.94576,0.97727,0.63753,1.14891,0.67921,1.11322,0.00101,0.00101,0.00101
27,6848.72,1.18577,0.73355,1.10286,0.93325,0.95966,0.97113,0.64063,1.16067,0.65933,1.10652,0.0009704,0.0009704,0.0009704
28,7116.35,1.24268,0.76703,1.12693,0.93882,0.93843,0.96945,0.63185,1.14764,0.67957,1.12072,0.0009308,0.0009308,0.0009308
29,7298.72,1.17854,0.73182,1.09533,0.94556,0.95872,0.97141,0.6422,1.13333,0.63863,1.09281,0.0008912,0.0008912,0.0008912
30,7607.7,1.24726,0.77091,1.10465,0.93648,0.94692,0.96959,0.65442,1.13441,0.64511,1.10625,0.0008516,0.0008516,0.0008516
31,7811.71,1.19522,0.72986,1.10497,0.92108,0.96634,0.98097,0.6475,1.1082,0.66576,1.10095,0.000812,0.000812,0.000812
32,8004.84,1.18758,0.7095,1.11933,0.93569,0.95758,0.97705,0.63857,1.13608,0.63271,1.10522,0.0007724,0.0007724,0.0007724
33,8236.01,1.16339,0.6696,1.0863,0.94085,0.94552,0.97083,0.64746,1.12085,0.65564,1.10151,0.0007328,0.0007328,0.0007328
34,8410.46,1.17838,0.70007,1.11097,0.94823,0.94904,0.97425,0.65742,1.10776,0.62344,1.09915,0.0006932,0.0006932,0.0006932
35,9088.31,1.16309,0.67652,1.11784,0.93969,0.96178,0.97943,0.68512,1.04933,0.58985,1.06557,0.0006536,0.0006536,0.0006536
36,9385.79,1.16483,0.65802,1.10223,0.94391,0.95754,0.97268,0.68017,1.07994,0.58571,1.06578,0.000614,0.000614,0.000614
37,9568.86,1.09044,0.64467,1.08295,0.93608,0.97028,0.97918,0.6834,1.04752,0.58183,1.06078,0.0005744,0.0005744,0.0005744
38,9780.56,1.15589,0.67089,1.09375,0.93769,0.9586,0.97756,0.69799,1.01648,0.56043,1.05838,0.0005348,0.0005348,0.0005348
39,9949.29,1.07626,0.61737,1.07237,0.95599,0.96178,0.9791,0.70767,1.01686,0.54861,1.05759,0.0004952,0.0004952,0.0004952
40,10138.1,1.10583,0.61787,1.07847,0.94473,0.97992,0.98458,0.7073,1.00599,0.54688,1.04703,0.0004556,0.0004556,0.0004556
41,10304.8,1.10828,0.6381,1.08448,0.94304,0.98429,0.98134,0.67948,1.06472,0.57268,1.05506,0.000416,0.000416,0.000416
42,10465.8,1.08013,0.5959,1.07372,0.96167,0.97452,0.98699,0.70896,0.9937,0.54795,1.04228,0.0003764,0.0003764,0.0003764
43,10625.5,1.03634,0.5656,1.04388,0.95467,0.97665,0.98486,0.70808,0.97993,0.53612,1.04002,0.0003368,0.0003368,0.0003368
44,10784.7,1.14417,0.57802,1.15614,0.9544,0.97762,0.98526,0.71613,0.97617,0.5174,1.04086,0.0002972,0.0002972,0.0002972
45,10944.2,1.04099,0.56878,1.06821,0.9612,0.98089,0.9858,0.72379,0.97232,0.51023,1.03245,0.0002576,0.0002576,0.0002576
46,11101.7,1.03129,0.54737,1.03176,0.95426,0.98514,0.98434,0.72322,0.94866,0.5098,1.03135,0.000218,0.000218,0.000218
47,11268.8,1.00888,0.53904,1.04554,0.9643,0.97504,0.98471,0.72801,0.93385,0.50033,1.02295,0.0001784,0.0001784,0.0001784
48,11430.4,0.99975,0.52687,1.0507,0.95463,0.97452,0.98352,0.72262,0.94417,0.5046,1.02874,0.0001388,0.0001388,0.0001388
